identifier	collection	creator	date	format	language	place	publisher	subject	title	type	file_location	ocr_data
		Weisheit, John		application/pdf				Colorado River (Colo.-Mexico); Utah--Trials, litigation, etc.; United States--Trials, litigation, etc.	About the Colorado River Bed Case			
https://collections.lib.utah.edu/ark:/87278/s6pv6n1x			1930-10	application/pdf	eng		Microfilm gift of John Weisheit, 1997	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	No. 14 Original, Abstract of the Testimony, vol. 1, pp. 1-748	Text		
https://collections.lib.utah.edu/ark:/87278/s6k35wbz			1930-10	application/pdf	eng		Microfilm gift of John Weisheit, 1997	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	No. 14 Original, Abstract of the Testimony, vol. 2, pp. 749-1426	Text		
https://collections.lib.utah.edu/ark:/87278/s6ff3v0h			1930-10	application/pdf	eng		Microfilm gift of John Weisheit, 1997	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	No. 14 Original, Brief for the United States, 1930	Text		
https://collections.lib.utah.edu/ark:/87278/s69p339m			1929-10	application/pdf	eng		Microfilm gift of John Weisheit, 1997	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	No. 15 Original, Brief of Defendant, the State of Utah, 1929	Text		
https://collections.lib.utah.edu/ark:/87278/s65x2bkw			1929-10	application/pdf	eng		Microfilm gift of John Weisheit, 1997	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	No. 15 Original, Brief for the United States, 1929	Text		
https://collections.lib.utah.edu/ark:/87278/s6251kt1		United States. Supreme Court.	1931-05-18	application/pdf	eng		Microfilm gift of John Weisheit, 1997	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects; Green River (Utah); Colorado River	No. 14 Original, United States, Complainant vs. the State of Utah, 1931	Text		
https://collections.lib.utah.edu/ark:/87278/s6xd139p			1930-10	application/pdf	eng		Microfilm gift of John Weisheit, 1997	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	No. 14 Original, Defendant's Exceptions to the Report of the Special Master, 1930	Text		
Reel9-Vol31.pdf			1929	application/pdf	eng		Digitized by J. Willard Marriott Library, University of Utah	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	Reel 9 Volume 31 Testimony	Text		
Reel8-Vol27.pdf			1929	application/pdf	eng		Digitized by J. Willard Marriott Library, University of Utah	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	Reel 8 Volume 27 Testimony	Text		
Reel8-Vol26.pdf			1929	application/pdf	eng		Digitized by J. Willard Marriott Library, University of Utah	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	Reel 8 Volume 26 Testimony	Text		
Reel8-Vol28.pdf			1929	application/pdf	eng		Digitized by J. Willard Marriott Library, University of Utah	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	Reel 8 Volume 28 Testimony	Text		
Reel9-Vol30.pdf			1929	application/pdf	eng		Digitized by J. Willard Marriott Library, University of Utah	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	Reel 9 Volume 30 Testimony	Text		
Reel7-Vol24.pdf			1929	application/pdf	eng		Digitized by J. Willard Marriott Library, University of Utah	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	Reel 7 Volume 24 Testimony	Text		
Reel8-Vol25.pdf			1929	application/pdf	eng		Digitized by J. Willard Marriott Library, University of Utah	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	Reel 8 Volume 25 Testimony	Text		
Reel8-Vol29.pdf			1929	application/pdf	eng		Digitized by J. Willard Marriott Library, University of Utah	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	Reel 8 Volume 29 Testimony	Text		
Reel1-Vol0.03.pdf			1929	application/pdf	eng		Digitized by J. Willard Marriott Library, University of Utah	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	Reel 1 Volume 0.03 Hearings	Text		
Reel1-Vol0.04.pdf			1929	application/pdf	eng		Digitized by J. Willard Marriott Library, University of Utah	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	Reel 1 Volume 0.04 Hearings	Text		
Reel1-Vol0.05.pdf			1929	application/pdf	eng		Digitized by J. Willard Marriott Library, University of Utah	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	Reel 1 Volume 0.05 Hearings	Text		
Reel1-Vol0.06.pdf			1929	application/pdf	eng		Digitized by J. Willard Marriott Library, University of Utah	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	Reel 1 Volume 0.06 Hearings	Text		
Reel1-Vol0.07.pdf			1929	application/pdf	eng		Digitized by J. Willard Marriott Library, University of Utah	Mines and mineral resources -- Environmental aspects -- Utah; United States -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Utah -- Trials, litigation, etc.; Colorado River (Colo.-Mexico); Colorado River (Colo.-Mexico) -- Environmental aspects	Reel 1 Volume 0.07 Hearings	Text		
